Screen,Route,Component,Data displayed,Previous source,Current source,Table/view/RPC,Company scoped,Branch scoped,Warehouse scoped,Permission,Loading state,Empty state,Error state,Static data found,Static data removed,Test result,Notes
Login,/login,AuthGate,Company and mode,Static brand text,Live public context,get_public_login_context,Yes,N/A,N/A,Anonymous context,Yes,N/A,Yes,Demo company,Yes,PASS,No secrets displayed
Dashboard,/,Dashboard,Metrics and recent activity,Client reductions,Live RPC plus bounded tables,get_dashboard_metrics; documents; products; customers,Yes,Yes,Yes,dashboard.read,Yes,Yes,Yes,Client totals,Yes,PASS,Server date used
Articles,/inventory,Inventory,Products and stock,Mock arrays,Live RLS tables,products; inventory_balances,Yes,N/A,Yes,products.read,Yes,Yes,Yes,Sample products,Yes,PASS,Explicit limit
Stock movements,/movements,StockMovements,Movement form and history,Fabricated local records,Protected RPC and live history,post_operational_stock_movement_v2; stock_movements,Yes,N/A,Yes,stock.read; stock.direct_entry; stock.direct_exit,Yes,Yes,Yes,Fake guide/operator/entity,Yes,PASS,Idempotent and audited
Customers and suppliers,/entities,Entities,Parties and balances,Mock arrays,Live RLS tables,customers; suppliers,Yes,N/A,N/A,customers.read; suppliers.read,Yes,Yes,Yes,Sample parties,Yes,PASS,Bounded lists
Sales,/sales,NewSale,Sale editor,Client document number,Protected document RPC,create_and_confirm_customer_sale,Yes,Yes,Yes,sales.create; sales.confirm,Yes,Yes,Yes,Generated browser number,Yes,PASS,Server assigns number
Purchases,/purchases,Purchases,Supplier invoices,Local success fallback,Protected document RPC,create_and_confirm_supplier_invoice,Yes,Yes,Yes,purchases.create; purchases.confirm,Yes,Yes,Yes,Sample supplier reference,Yes,PASS,Dynamic payment terms
Documents,/documents,Documents,Sales and purchase documents,Mock sales conversion,Live RLS table,documents,Yes,Yes,N/A,documents.view,Yes,Yes,Yes,Mock conversion,Yes,PASS,Explicit limit
Payments and accounts,/accounts,Accounts,Payments and ledger,Local success fallback,Live RLS tables and RPCs,payments; ledger_entries; payment RPCs,Yes,Yes,N/A,payments.read; accounts.read,Yes,Yes,Yes,Fake payment success,Yes,PASS,Protected writes
Reports,/reports,Reports,Sales stock VAT balances,In-memory export,Server report RPC,get_operational_report,Yes,Yes,Yes,reports.read; reports.export,Yes,Yes,Yes,Client-only totals,Yes,PASS,Server pagination and filters
Administration,/administration,Administration,Users mode permissions,Demo permissions,Live context and protected admin RPC,user_profiles; get_current_user_context; admin_update_user_profile,Yes,N/A,N/A,users.manage,Yes,Yes,Yes,Demo role set,Yes,PASS,Manager denied
Print,Modal,PrintInvoiceModal and PrintRecordModal,Company documents payments,Sample address and local number,Confirmed live records and company,companies; documents; payments,Yes,Yes,N/A,documents.print,Yes,N/A,Yes,Sample legal/address fallback,Yes,PASS,A4 print CSS
